"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72349513987","2011-01-01","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  24.2","24","   8.1","24","1020.6","24","984.1","24"," 10.0","24","  8.9","24"," 14.0"," 21.0","  36.0"," ","  18.0"," "," 0.91","G","999.9","000000"
"72349513987","2011-01-02","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  24.5","24","  10.4","24","1027.1","24","990.1","24"," 10.0","24","  5.7","24"," 13.0"," 17.1","  39.0"," ","  12.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-03","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  36.4","24","  15.2","24","1020.7","24","984.3","24"," 10.0","24"," 10.1","23"," 18.1"," 26.0","  53.1"," ","  26.1"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-04","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  32.5","24","  19.5","24","1020.8","24","984.5","24","  9.8","24","  3.5","24","  9.9"," 15.9","  46.0"," ","  21.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-05","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  37.4","24","  19.1","24","1015.2","24","979.1","24"," 10.0","24","  4.8","24","  9.9"," 17.1","  48.9"," ","  28.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-06","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  37.6","24","  23.1","24","1014.2","24","978.3","24"," 10.0","24","  7.0","24"," 15.9"," 21.0","  54.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-07","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  43.0","24","  24.8","24","1007.3","24","971.7","24"," 10.0","24"," 11.8","24"," 27.0"," 35.0","  51.1"," ","  37.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-08","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  29.1","24","  14.9","24","1014.1","24","977.9","24"," 10.0","24","  8.7","24"," 17.1"," 20.0","  39.9"," ","  19.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-09","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  25.9","24","   9.0","24","1018.8","24","982.2","24"," 10.0","24","  9.4","24"," 14.0"," 18.1","  30.9"," ","  21.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-10","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  26.1","24","  19.0","24","1020.1","13","984.0","24","  5.4","24","  6.1","24"," 11.1"," 24.1","  28.9"," ","  24.1"," "," 0.00","G","999.9","101000"
"72349513987","2011-01-11","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  16.6","24","  10.7","24","1031.5","19","992.0","24","  8.4","24"," 11.3","24"," 15.0"," 21.0","  27.0"," ","   8.1"," "," 0.12","G","999.9","001000"
